"a","b","ind_a","ind_b","stim_a","stim_b","same_label","r"
"GSM5695305_204273120005_R02C01","GSM5695306_204088100082_R07C01","SFA_1","SFA_1","S","U",TRUE,0.992919776970805
"GSM5695305_204273120005_R02C01","GSM5695307_204088100053_R08C01","SFA_1","SFA_2","S","S",FALSE,0.212955419423141
"GSM5695305_204273120005_R02C01","GSM5695308_204088100082_R05C01","SFA_1","SFA_2","S","U",FALSE,0.215915447084108
"GSM5695305_204273120005_R02C01","GSM5695309_204088100071_R03C01","SFA_1","MFA_1","S","S",FALSE,0.286666608890606
"GSM5695305_204273120005_R02C01","GSM5695310_204281260061_R01C01","SFA_1","MFA_1","S","U",FALSE,0.277757509905954
"GSM5695305_204273120005_R02C01","GSM5695311_204281260060_R02C01","SFA_1","MFA_2","S","S",FALSE,0.329196057347789
"GSM5695305_204273120005_R02C01","GSM5695312_204273120074_R06C01","SFA_1","MFA_2","S","U",FALSE,0.305141993823919
"GSM5695305_204273120005_R02C01","GSM5695313_204273120005_R04C01","SFA_1","SFA_3","S","S",FALSE,0.213190655581867
"GSM5695305_204273120005_R02C01","GSM5695314_204273120073_R02C01","SFA_1","SFA_3","S","U",FALSE,0.210762500592141
"GSM5695305_204273120005_R02C01","GSM5695315_204273120005_R03C01","SFA_1","MFA_3","S","S",FALSE,0.06686275634036
"GSM5695305_204273120005_R02C01","GSM5695316_204281260061_R07C01","SFA_1","MFA_3","S","U",FALSE,0.0608685926975115
"GSM5695305_204273120005_R02C01","GSM5695317_204273120073_R07C01","SFA_1","SFA_4","S","S",FALSE,0.158451561057365
"GSM5695305_204273120005_R02C01","GSM5695318_204088100071_R04C01","SFA_1","SFA_4","S","U",FALSE,0.15658077949864
"GSM5695305_204273120005_R02C01","GSM5695319_204088100082_R01C01","SFA_1","SFA_4","S","S",FALSE,0.315807105866853
"GSM5695305_204273120005_R02C01","GSM5695320_204281260063_R01C01","SFA_1","SFA_1","S","U",TRUE,0.32612085997414
"GSM5695305_204273120005_R02C01","GSM5695321_204273120073_R04C01","SFA_1","MFA_4","S","S",FALSE,0.221361984723986
"GSM5695305_204273120005_R02C01","GSM5695322_204088100053_R06C01","SFA_1","MFA_4","S","U",FALSE,0.202237455639298
"GSM5695305_204273120005_R02C01","GSM5695323_204273120066_R02C01","SFA_1","MFA_5","S","S",FALSE,0.244704054234493
"GSM5695305_204273120005_R02C01","GSM5695324_204273120074_R08C01","SFA_1","MFA_5","S","U",FALSE,0.247197978071664
"GSM5695305_204273120005_R02C01","GSM5695325_204273120068_R02C01","SFA_1","NA_1","S","S",FALSE,0.230172549221619
"GSM5695305_204273120005_R02C01","GSM5695326_204281260060_R01C01","SFA_1","NA_1","S","U",FALSE,0.219758595411781
"GSM5695305_204273120005_R02C01","GSM5695327_204281260060_R07C01","SFA_1","NA_2","S","S",FALSE,0.27697399901864
"GSM5695305_204273120005_R02C01","GSM5695328_204281260061_R05C01","SFA_1","NA_2","S","U",FALSE,0.25218644195462
"GSM5695305_204273120005_R02C01","GSM5695329_204088100082_R02C01","SFA_1","MFA_6","S","S",FALSE,0.238763212870949
"GSM5695305_204273120005_R02C01","GSM5695330_204281260061_R04C01","SFA_1","MFA_6","S","U",FALSE,0.24480890145942
"GSM5695305_204273120005_R02C01","GSM5695331_204281260060_R06C01","SFA_1","MFA_7","S","S",FALSE,0.165353615419879
"GSM5695305_204273120005_R02C01","GSM5695332_204273120066_R08C01","SFA_1","MFA_7","S","U",FALSE,0.145620266208737
"GSM5695305_204273120005_R02C01","GSM5695333_204088100053_R02C01","SFA_1","NA_3","S","S",FALSE,0.0524612195649054
"GSM5695305_204273120005_R02C01","GSM5695334_204281260063_R08C01","SFA_1","NA_3","S","U",FALSE,0.0528957447508339
"GSM5695305_204273120005_R02C01","GSM5695335_204088100053_R05C01","SFA_1","NA_4","S","S",FALSE,0.301168366338988
"GSM5695305_204273120005_R02C01","GSM5695336_204273120005_R07C01","SFA_1","NA_4","S","U",FALSE,0.29569145466115
"GSM5695305_204273120005_R02C01","GSM5695337_204088100082_R04C01","SFA_1","NA_5","S","S",FALSE,0.278618566772566
"GSM5695305_204273120005_R02C01","GSM5695338_204088100071_R01C01","SFA_1","NA_5","S","U",FALSE,0.276696151644601
"GSM5695305_204273120005_R02C01","GSM5695339_204281260043_R04C01","SFA_1","MFA_8","S","S",FALSE,0.206014641064231
"GSM5695305_204273120005_R02C01","GSM5695340_204273120074_R05C01","SFA_1","MFA_8","S","U",FALSE,0.221935524985564
"GSM5695305_204273120005_R02C01","GSM5695341_204281260060_R05C01","SFA_1","NA_6","S","S",FALSE,0.306093509597035
"GSM5695305_204273120005_R02C01","GSM5695342_204281260063_R02C01","SFA_1","SFA_5","S","S",FALSE,0.225628714232801
"GSM5695305_204273120005_R02C01","GSM5695343_204273120068_R04C01","SFA_1","SFA_1","S","U",TRUE,0.256497804806016
"GSM5695305_204273120005_R02C01","GSM5695344_204088100053_R01C01","SFA_1","MFA_9","S","S",FALSE,0.0934117552673546
"GSM5695305_204273120005_R02C01","GSM5695345_204088100053_R03C01","SFA_1","MFA_9","S","U",FALSE,0.0808690338623371
"GSM5695305_204273120005_R02C01","GSM5695346_204273120074_R07C01","SFA_1","MFA_10","S","S",FALSE,0.346606387632445
"GSM5695305_204273120005_R02C01","GSM5695347_204281260061_R08C01","SFA_1","MFA_10","S","U",FALSE,0.354097442225473
"GSM5695305_204273120005_R02C01","GSM5695348_204281260061_R02C01","SFA_1","NA_7","S","S",FALSE,0.329205793711178
"GSM5695305_204273120005_R02C01","GSM5695349_204281260060_R04C01","SFA_1","NA_7","S","U",FALSE,0.337684449250074
"GSM5695305_204273120005_R02C01","GSM5695350_204088100071_R02C01","SFA_1","NA_8","S","S",FALSE,0.405891300680976
"GSM5695305_204273120005_R02C01","GSM5695351_204273120074_R03C01","SFA_1","NA_8","S","U",FALSE,0.371354849862904
"GSM5695305_204273120005_R02C01","GSM5695352_204088100053_R07C01","SFA_1","MFA_11","S","S",FALSE,0.197772454581514
"GSM5695305_204273120005_R02C01","GSM5695353_204273120074_R02C01","SFA_1","MFA_11","S","U",FALSE,0.202961015414678
"GSM5695305_204273120005_R02C01","GSM5695354_204273120066_R03C01","SFA_1","SFA_6","S","S",FALSE,0.183989350303132
"GSM5695305_204273120005_R02C01","GSM5695355_204273120068_R06C01","SFA_1","SFA_6","S","U",FALSE,0.190424474943624
"GSM5695305_204273120005_R02C01","GSM5695356_204273120068_R05C01","SFA_1","NA_9","S","S",FALSE,0.225379413661721
"GSM5695305_204273120005_R02C01","GSM5695357_204273120066_R06C01","SFA_1","NA_9","S","U",FALSE,0.222904179492144
"GSM5695305_204273120005_R02C01","GSM5695358_204273120005_R05C01","SFA_1","MFA_12","S","S",FALSE,0.323889199664826
"GSM5695305_204273120005_R02C01","GSM5695359_204273120074_R01C01","SFA_1","MFA_12","S","U",FALSE,0.333386219941191
"GSM5695305_204273120005_R02C01","GSM5695360_204273120005_R06C01","SFA_1","SFA_7","S","U",FALSE,0.234228973270521
"GSM5695305_204273120005_R02C01","GSM5695361_204281260043_R01C01","SFA_1","SFA_8","S","S",FALSE,0.282440292555127
"GSM5695305_204273120005_R02C01","GSM5695362_204088100071_R08C01","SFA_1","SFA_8","S","U",FALSE,0.270410245127004
"GSM5695305_204273120005_R02C01","GSM5695363_204281260060_R03C01","SFA_1","NA_10","S","S",FALSE,0.273906623150941
"GSM5695305_204273120005_R02C01","GSM5695364_204281260043_R08C01","SFA_1","NA_10","S","U",FALSE,0.29694529440333
"GSM5695305_204273120005_R02C01","GSM5695365_204088100053_R04C01","SFA_1","NA_11","S","S",FALSE,0.136624687188134
"GSM5695305_204273120005_R02C01","GSM5695366_204088100071_R06C01","SFA_1","NA_11","S","U",FALSE,0.142993913625567
"GSM5695305_204273120005_R02C01","GSM5695367_204281260061_R06C01","SFA_1","SFA_9","S","S",FALSE,0.219343400643687
"GSM5695305_204273120005_R02C01","GSM5695368_204281260043_R05C01","SFA_1","SFA_9","S","U",FALSE,0.218377487836931
"GSM5695305_204273120005_R02C01","GSM5695369_204273120066_R07C01","SFA_1","SFA_10","S","S",FALSE,0.0412518409066087
"GSM5695305_204273120005_R02C01","GSM5695370_204281260063_R07C01","SFA_1","NA_12","S","S",FALSE,0.243668048884339
"GSM5695305_204273120005_R02C01","GSM5695371_204281260061_R03C01","SFA_1","NA_13","S","S",FALSE,0.454152255164251
"GSM5695305_204273120005_R02C01","GSM5695372_204273120073_R05C01","SFA_1","NA_13","S","U",FALSE,0.447237190504389
"GSM5695305_204273120005_R02C01","GSM5695373_204281260043_R07C01","SFA_1","SFA_11","S","S",FALSE,0.263576588937253
"GSM5695305_204273120005_R02C01","GSM5695374_204281260043_R03C01","SFA_1","SFA_11","S","U",FALSE,0.252756941860961
"GSM5695305_204273120005_R02C01","GSM5695375_204088100071_R05C01","SFA_1","NA_14","S","S",FALSE,0.0519863127556541
"GSM5695305_204273120005_R02C01","GSM5695376_204281260063_R03C01","SFA_1","NA_14","S","U",FALSE,0.0496661221300316
"GSM5695305_204273120005_R02C01","GSM5695377_204273120073_R03C01","SFA_1","NA_15","S","S",FALSE,0.131009710787886
"GSM5695305_204273120005_R02C01","GSM5695378_204273120068_R01C01","SFA_1","NA_15","S","U",FALSE,0.13135100551825
"GSM5695305_204273120005_R02C01","GSM5695379_204088100071_R07C01","SFA_1","MFA_13","S","S",FALSE,0.260917316181115
"GSM5695305_204273120005_R02C01","GSM5695380_204273120068_R03C01","SFA_1","MFA_13","S","U",FALSE,0.253520890159857
"GSM5695305_204273120005_R02C01","GSM5695381_204273120066_R05C01","SFA_1","NA_16","S","S",FALSE,-0.122664164097096
"GSM5695305_204273120005_R02C01","GSM5695382_204088100082_R03C01","SFA_1","NA_16","S","U",FALSE,-0.130789657446171
"GSM5695305_204273120005_R02C01","GSM5695383_204281260043_R06C01","SFA_1","MFA_14","S","S",FALSE,0.319389604540757
"GSM5695305_204273120005_R02C01","GSM5695384_204281260063_R06C01","SFA_1","MFA_14","S","U",FALSE,0.322737262959192
"GSM5695305_204273120005_R02C01","GSM5695385_204281260063_R04C01","SFA_1","SFA_12","S","S",FALSE,0.135162691099849
"GSM5695305_204273120005_R02C01","GSM5695386_204273120074_R04C01","SFA_1","SFA_12","S","U",FALSE,0.124349352793441
"GSM5695305_204273120005_R02C01","GSM5695387_204273120073_R01C01","SFA_1","NA_17","S","S",FALSE,-0.124447314463203
