gsm_id,sample_title,condition
GSM5695393,Non_allergic_1,control
GSM5695394,Non_allergic_2,control
GSM5695395,Non_allergic_3,control
GSM5695396,Non_allergic_4,control
GSM5695397,Non_allergic_5,control
GSM5695398,Non_allergic_6,control
GSM5695399,Non_allergic_7,control
GSM5695400,Non_allergic_8,control
GSM5695401,Non_allergic_9,control
GSM5695402,Non_allergic_10,control
GSM5695403,Non_allergic_11,control
GSM5695404,Non_allergic_12,control
GSM5695405,Non_allergic_13,control
GSM5695406,Non_allergic_14,control
GSM5695407,Non_allergic_15,control
GSM5695408,Non_allergic_16,control
GSM5695409,Non_allergic_17,control
GSM5695410,Non_allergic_18,control
GSM5695411,Single_allergic_1,allergic
GSM5695412,Single_allergic_2,allergic
GSM5695413,Single_allergic_3,allergic
GSM5695414,Single_allergic_4,allergic
GSM5695415,Single_allergic_5,allergic
GSM5695416,Single_allergic_6,allergic
GSM5695417,Single_allergic_7,allergic
GSM5695418,Single_allergic_8,allergic
GSM5695419,Single_allergic_9,allergic
GSM5695420,Single_allergic_10,allergic
GSM5695421,Single_allergic_11,allergic
GSM5695422,Single_allergic_12,allergic
GSM5695423,Single_allergic_13,allergic
GSM5695424,Multi_allergic_1,allergic
GSM5695425,Multi_allergic_2,allergic
GSM5695426,Multi_allergic_3,allergic
GSM5695427,Multi_allergic_4,allergic
GSM5695428,Multi_allergic_5,allergic
GSM5695429,Multi_allergic_6,allergic
GSM5695430,Multi_allergic_7,allergic
GSM5695431,Multi_allergic_8,allergic
GSM5695432,Multi_allergic_9,allergic
GSM5695433,Multi_allergic_10,allergic
GSM5695434,Multi_allergic_11,allergic
GSM5695435,Multi_allergic_12,allergic
GSM5695436,Multi_allergic_13,allergic
GSM5695437,Multi_allergic_14,allergic
GSM5695438,Multi_allergic_15,allergic
GSM5695439,Multi_allergic_16,allergic
GSM5695440,Multi_allergic_17,allergic
