"chr","start_infant","end_infant","value_infant","p_infant","start_adol","end_adol","value_adol","p_adol","direction_matched","combined_p","rank","genes"
"chr12",739953,740338,0.685942804323677,1.63896322166531e-05,739953,740338,0.4937805149726,0.000245578256714697,TRUE,8.18300203433971e-08,1,"NINJ2; LOC100049716;NINJ2;NINJ2"
"chr2",30669597,30669863,0.769271674094332,2.01145486295288e-05,30669597,30669863,0.545559005786985,0.000283324822811077,TRUE,1.13882043623213e-07,2,"LCLAT1;LCLAT1; LCLAT1;LCLAT1;LCLAT1;LCLAT1"
"chr8",11666017,11666810,-0.331599802007862,0.000156446489340779,11666281,11666594,-0.461489435005792,0.000180612055305787,TRUE,5.19402782455735e-07,3,"FDFT1; FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1; FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1;FDFT1"
"chr17",180404,181288,0.445629079463344,0.000309168062268683,180404,181288,0.685563883685657,0.000117713643872277,TRUE,6.59769796110837e-07,4,"RPH3AL; RPH3AL;RPH3AL;RPH3AL;RPH3AL;LOC100506388;LOC100506388; LOC100506388;LOC100506388;LOC100506388;RPH3AL;RPH3AL;RPH3AL;RPH3AL"
"chr17",33759512,33759573,-0.310297522995069,0.00484686123643385,33759512,33760971,-0.530564515739008,8.9478911662734e-06,TRUE,7.78629417130366e-07,5,"SLFN12; SLFN12;SLFN12"
"chr17",33759957,33759986,-0.236441410802389,0.00552405104029466,33759512,33760971,-0.530564515739008,8.9478911662734e-06,TRUE,8.80953046196412e-07,6,"SLFN12"
"chr15",81426347,81426669,-0.235293711695834,0.000326302677767911,81426347,81426669,-0.334968382664261,0.00017737878370789,TRUE,1.02243026414844e-06,7,"C15orf26; C15orf26;C15orf26"
"chr12",122356390,122356598,-0.505212396748919,0.000181775920948334,122356390,122356781,-0.453053512191186,0.000330357645706069,TRUE,1.05858441545542e-06,8,"WDR66; WDR66;WDR66"
"chr4",99064102,99064573,-0.242845303249994,0.00147879181591165,99064102,99064904,-0.52197029708516,4.31604162137893e-05,TRUE,1.12122596733838e-06,9,"C4orf37; STPG2"
"chr7",872130,872208,0.349593702139369,0.00301122242816871,872130,872293,1.0745128632342,2.35728057195522e-05,TRUE,1.23942113375355e-06,10,"SUN1;SUN1;SUN1;SUN1;SUN1;SUN1;SUN1;SUN1; UNC84A;UNC84A"
"chr1",248100345,248100614,-0.268029377487243,0.00118526840257705,248100345,248101009,-0.583255176757273,7.64330367270329e-05,TRUE,1.55974037257218e-06,11,"OR2L13;OR2L13; OR2L13"
"chr11",45407537,45407537,-0.406068076671423,0.00979504019929793,45407537,45407537,-2.15566518438035,9.28625679861147e-06,TRUE,1.56566845152003e-06,12,"LOC399886"
"chr4",124232,124344,-0.304297850370787,0.000788192312964497,124232,125504,-0.397102628611807,0.000120232588024127,TRUE,1.62731451976788e-06,13,"ZNF718; ZNF718;ZNF718;ZNF718;ZNF718;ZNF718;ZNF718"
"chr11",74988026,74988026,-0.822030743095443,0.000519253347954872,74988026,74988026,-1.25610107724508,0.000196590432388418,TRUE,1.74531758700915e-06,14,"ARRB1;ARRB1"
"chr1",2084319,2084595,0.358074356029253,0.000740513382879688,2084319,2084595,0.577496969543341,0.000229599879632066,TRUE,2.82020900735363e-06,15,"PRKCZ;PRKCZ;PRKCZ"
"chr10",135341870,135342560,0.298098758451265,0.00140652843750186,135341025,135341933,0.46523554786957,0.000174822243374669,TRUE,3.98797522940501e-06,16,"CYP2E1"
